"","x","language","predictor","psychometric"
"1",5.44901807248592,"ZH","vmi_qwenzt","gaze_duration"
"2",3.153148021698,"ZH","vmi_qwenzt","gaze_duration"
"3",3.18733772277832,"ZH","vmi_qwenzt","gaze_duration"
"4",5.44165129601955,"ZH","vmi_qwenzt","gaze_duration"
"5",3.74477883815765,"ZH","vmi_qwenzt","gaze_duration"
"6",5.2894326710701,"ZH","vmi_qwenzt","gaze_duration"
"7",3.04621132850647,"ZH","vmi_qwenzt","gaze_duration"
"8",2.75055989265442,"ZH","vmi_qwenzt","gaze_duration"
"9",4.35857221126556,"ZH","vmi_qwenzt","gaze_duration"
"10",2.86378153800964,"ZH","vmi_qwenzt","gaze_duration"
"11",5.47884815573692,"ZH","vmi_qwenzt","gaze_duration"
"12",3.72699007034302,"ZH","vmi_qwenzt","gaze_duration"
"13",5.47884815573692,"ZH","vmi_qwenzt","gaze_duration"
"14",3.72699007034302,"ZH","vmi_qwenzt","gaze_duration"
"15",5.38401178658009,"ZH","vmi_qwenzt","gaze_duration"
"16",5.36160432934761,"ZH","vmi_qwenzt","gaze_duration"
"17",2.94153746604919,"ZH","vmi_qwenzt","gaze_duration"
"18",5.2894326710701,"ZH","vmi_qwenzt","gaze_duration"
"19",5.32691242933273,"ZH","vmi_qwenzt","gaze_duration"
"20",5.41878150045872,"ZH","vmi_qwenzt","gaze_duration"
"21",5.36878066897392,"ZH","vmi_qwenzt","gaze_duration"
"22",5.43563890099525,"ZH","vmi_qwenzt","gaze_duration"
"23",5.44165129601955,"ZH","vmi_qwenzt","gaze_duration"
"24",3.74477883815765,"ZH","vmi_qwenzt","gaze_duration"
"25",2.71620258331299,"ZH","vmi_qwenzt","gaze_duration"
"26",5.36160432934761,"ZH","vmi_qwenzt","gaze_duration"
"27",2.94153746604919,"ZH","vmi_qwenzt","gaze_duration"
"28",5.27064767122269,"ZH","vmi_qwenzt","gaze_duration"
"29",2.57162078857422,"ZH","vmi_qwenzt","gaze_duration"
"30",5.49466319769621,"ZH","vmi_qwenzt","gaze_duration"
"31",3.153148021698,"ZH","vmi_qwenzt","gaze_duration"
"32",3.18733772277832,"ZH","vmi_qwenzt","gaze_duration"
"33",5.36878066897392,"ZH","vmi_qwenzt","gaze_duration"
"34",5.44165129601955,"ZH","vmi_qwenzt","gaze_duration"
"35",3.74477883815765,"ZH","vmi_qwenzt","gaze_duration"
"36",5.36878066897392,"ZH","vmi_qwenzt","gaze_duration"
"37",5.31735801339149,"ZH","vmi_qwenzt","gaze_duration"
"38",5.48538817852736,"ZH","vmi_qwenzt","gaze_duration"
"39",3.07560547828674,"ZH","vmi_qwenzt","gaze_duration"
"40",4.07052990436554,"ZH","vmi_qwenzt","gaze_duration"
"41",5.2356011235714,"ZH","vmi_qwenzt","gaze_duration"
"42",5.3125387096405,"ZH","vmi_qwenzt","gaze_duration"
"43",2.68599924087524,"ZH","vmi_qwenzt","gaze_duration"
"44",5.46446640431881,"ZH","vmi_qwenzt","gaze_duration"
"45",5.2894326710701,"ZH","vmi_qwenzt","gaze_duration"
"46",5.47769941031933,"ZH","vmi_qwenzt","gaze_duration"
"47",5.48997887611389,"ZH","vmi_qwenzt","gaze_duration"
"48",3.03778752326965,"ZH","vmi_qwenzt","gaze_duration"
"49",5.36167198061943,"ZH","vmi_qwenzt","gaze_duration"
"50",3.04621132850647,"ZH","vmi_qwenzt","gaze_duration"
"51",2.75055989265442,"ZH","vmi_qwenzt","gaze_duration"
"52",4.35857221126556,"ZH","vmi_qwenzt","gaze_duration"
"53",5.49135116130114,"ZH","vmi_qwenzt","gaze_duration"
"54",5.2894326710701,"ZH","vmi_qwenzt","gaze_duration"
"55",5.32691242933273,"ZH","vmi_qwenzt","gaze_duration"
"56",5.44901807248592,"ZH","vmi_qwenzt","gaze_duration"
"57",3.153148021698,"ZH","vmi_qwenzt","gaze_duration"
"58",3.18733772277832,"ZH","vmi_qwenzt","gaze_duration"
"59",5.44165129601955,"ZH","vmi_qwenzt","gaze_duration"
"60",3.74477883815765,"ZH","vmi_qwenzt","gaze_duration"
"61",5.41812888920307,"ZH","vmi_qwenzt","gaze_duration"
"62",5.2894326710701,"ZH","vmi_qwenzt","gaze_duration"
"63",3.71407553195953,"ZH","vmi_qwenzt","gaze_duration"
"64",5.49135116130114,"ZH","vmi_qwenzt","gaze_duration"
"65",5.33507823586464,"ZH","vmi_qwenzt","gaze_duration"
"66",3.73081561565399,"ZH","vmi_qwenzt","gaze_duration"
"67",5.43210470318794,"ZH","vmi_qwenzt","gaze_duration"
"68",5.2894326710701,"ZH","vmi_qwenzt","gaze_duration"
